date,flu,isPartial
2012-01-01,0,False
2012-01-08,0,False
2012-01-15,46,False
2012-01-22,0,False
2012-01-29,100,False
2012-02-05,0,False
2012-02-12,0,False
2012-02-19,0,False
2012-02-26,0,False
2012-03-04,48,False
2012-03-11,0,False
2012-03-18,54,False
2012-03-25,0,False
2012-04-01,0,False
2012-04-08,55,False
2012-04-15,0,False
2012-04-22,0,False
2012-04-29,0,False
2012-05-06,57,False
2012-05-13,0,False
2012-05-20,62,False
2012-05-27,0,False
2012-06-03,0,False
2012-06-10,0,False
2012-06-17,0,False
2012-06-24,60,False
2012-07-01,0,False
2012-07-08,0,False
2012-07-15,0,False
2012-07-22,0,False
2012-07-29,0,False
2012-08-05,42,False
2012-08-12,0,False
2012-08-19,51,False
2012-08-26,56,False
2012-09-02,0,False
2012-09-09,82,False
2012-09-16,90,False
2012-09-23,0,False
2012-09-30,60,False
2012-10-07,59,False
2012-10-14,0,False
2012-10-21,0,False
2012-10-28,45,False
2012-11-04,53,False
2012-11-11,0,False
2012-11-18,50,False
2012-11-25,0,False
2012-12-02,0,False
2012-12-09,86,False
2012-12-16,0,False
2012-12-23,0,False
2012-12-30,0,False
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,0,False
2013-02-24,0,False
2013-03-03,96,False
2013-03-10,100,False
2013-03-17,0,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,0,False
2013-06-16,0,False
2013-06-23,0,False
2013-06-30,0,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,33,False
2013-08-04,35,False
2013-08-11,35,False
2013-08-18,0,False
2013-08-25,34,False
2013-09-01,35,False
2013-09-08,35,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,34,False
2013-10-06,34,False
2013-10-13,0,False
2013-10-20,32,False
2013-10-27,0,False
2013-11-03,0,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,0,False
2013-12-01,0,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,53,False
2014-02-16,52,False
2014-02-23,0,False
2014-03-02,50,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,0,False
2014-03-30,0,False
2014-04-06,0,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,100,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,0,False
2014-09-28,0,False
2014-10-05,51,False
2014-10-12,50,False
2014-10-19,0,False
2014-10-26,49,False
2014-11-02,51,False
2014-11-09,0,False
2014-11-16,0,False
2014-11-23,0,False
2014-11-30,0,False
2014-12-07,0,False
2014-12-14,0,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,0,False
2015-01-11,6,False
2015-01-18,0,False
2015-01-25,12,False
2015-02-01,41,False
2015-02-08,52,False
2015-02-15,100,False
2015-02-22,42,False
2015-03-01,23,False
2015-03-08,18,False
2015-03-15,10,False
2015-03-22,13,False
2015-03-29,6,False
2015-04-05,6,False
2015-04-12,8,False
2015-04-19,0,False
2015-04-26,0,False
2015-05-03,0,False
2015-05-10,11,False
2015-05-17,8,False
2015-05-24,5,False
2015-05-31,6,False
2015-06-07,0,False
2015-06-14,0,False
2015-06-21,5,False
2015-06-28,0,False
2015-07-05,5,False
2015-07-12,5,False
2015-07-19,0,False
2015-07-26,4,False
2015-08-02,0,False
2015-08-09,5,False
2015-08-16,5,False
2015-08-23,10,False
2015-08-30,0,False
2015-09-06,5,False
2015-09-13,5,False
2015-09-20,0,False
2015-09-27,9,False
2015-10-04,9,False
2015-10-11,7,False
2015-10-18,5,False
2015-10-25,4,False
2015-11-01,4,False
2015-11-08,5,False
2015-11-15,4,False
2015-11-22,4,False
2015-11-29,4,False
2015-12-06,4,False
2015-12-13,6,False
2015-12-20,0,False
2015-12-27,0,False
2016-01-03,78,False
2016-01-10,0,False
2016-01-17,51,False
2016-01-24,0,False
2016-01-31,0,False
2016-02-07,0,False
2016-02-14,96,False
2016-02-21,98,False
2016-02-28,0,False
2016-03-06,0,False
2016-03-13,0,False
2016-03-20,59,False
2016-03-27,0,False
2016-04-03,0,False
2016-04-10,0,False
2016-04-17,51,False
2016-04-24,0,False
2016-05-01,50,False
2016-05-08,0,False
2016-05-15,0,False
2016-05-22,100,False
2016-05-29,0,False
2016-06-05,50,False
2016-06-12,51,False
2016-06-19,0,False
2016-06-26,0,False
2016-07-03,0,False
2016-07-10,0,False
2016-07-17,92,False
2016-07-24,47,False
2016-07-31,50,False
2016-08-07,0,False
2016-08-14,59,False
2016-08-21,0,False
2016-08-28,48,False
2016-09-04,0,False
2016-09-11,51,False
2016-09-18,0,False
2016-09-25,0,False
2016-10-02,40,False
2016-10-09,0,False
2016-10-16,34,False
2016-10-23,0,False
2016-10-30,72,False
